date,account_type,transaction_amount,category,department,budget,variance,transaction_id,vendor,approved_by
2024-07-29,Expense,10640.49,Miscellaneous,Engineering,11145.73,-505.23,TXN51969,Vendor_24,Manager_6
2024-08-28,Expense,13117.49,Travel,Marketing,12235.01,882.49,TXN99227,Vendor_5,Manager_7
2024-08-28,Investment,44781.47,Equipment,Operations,44781.47,0.0,TXN28156,Vendor_37,Manager_5
2024-08-28,Investment,62848.19,Miscellaneous,Operations,62848.19,0.0,TXN97218,Vendor_16,Manager_2
2024-08-28,Revenue,140292.51,Training,Operations,112234.01,28058.5,TXN59554,Vendor_32,Manager_9
2024-08-28,Expense,121299.62,Salaries,Marketing,115974.68,5324.94,TXN95324,Vendor_11,Manager_6
2024-08-28,Expense,14041.83,Equipment,Engineering,13627.77,414.06,TXN87764,Vendor_24,Manager_8
2024-08-28,Expense,85339.33,Salaries,Sales,88723.36,-3384.03,TXN98121,Vendor_24,Manager_2
2024-08-28,Revenue,306437.48,Travel,HR,245149.99,61287.5,TXN51920,Vendor_14,Manager_9
2024-08-28,Revenue,259603.51,Software/Tools,HR,207682.81,51920.7,TXN33036,Vendor_20,Manager_5
2024-08-28,Expense,9806.4,Miscellaneous,Finance,9360.64,445.76,TXN51382,Vendor_48,Manager_6
2024-08-28,Expense,14941.29,Miscellaneous,Sales,15665.98,-724.69,TXN54142,Vendor_39,Manager_7
2024-08-28,Expense,87834.47,Salaries,Marketing,89326.52,-1492.04,TXN75082,Vendor_10,Manager_3
2024-08-28,Expense,5316.03,Professional Services,Marketing,4868.91,447.12,TXN30447,Vendor_6,Manager_4
2024-08-28,Expense,6734.79,Equipment,Engineering,6951.4,-216.6,TXN98440,Vendor_4,Manager_8
2024-08-28,Expense,7695.66,Travel,HR,8189.57,-493.91,TXN92055,Vendor_13,Manager_4
2024-08-28,Expense,24866.06,Office Rent,Finance,26190.41,-1324.36,TXN13662,Vendor_10,Manager_1
2024-08-28,Expense,112340.56,Salaries,Engineering,115716.25,-3375.69,TXN46191,Vendor_37,Manager_6
2024-08-28,Expense,6343.93,Software/Tools,HR,6869.2,-525.28,TXN90909,Vendor_13,Manager_4
2024-08-28,Investment,10690.89,Miscellaneous,Finance,10690.89,0.0,TXN54649,Vendor_15,Manager_8
2024-08-28,Revenue,55390.92,Office Rent,Marketing,44312.74,11078.18,TXN14641,Vendor_39,Manager_3
2024-08-28,Investment,14643.83,Equipment,Finance,14643.83,0.0,TXN57545,Vendor_26,Manager_6
2024-08-28,Revenue,421736.93,Professional Services,HR,337389.55,84347.39,TXN57859,Vendor_11,Manager_5
2024-08-28,Expense,19644.5,Miscellaneous,Engineering,18093.66,1550.84,TXN75924,Vendor_24,Manager_9
2024-08-28,Expense,1831.28,Equipment,Engineering,1961.94,-130.65,TXN16630,Vendor_17,Manager_9
2024-08-28,Expense,6509.91,Professional Services,Operations,5982.88,527.03,TXN39644,Vendor_16,Manager_8
2024-08-28,Expense,3262.4,Utilities,Marketing,2958.62,303.77,TXN81057,Vendor_32,Manager_1
2024-08-28,Expense,9464.23,Miscellaneous,Sales,9495.79,-31.56,TXN33656,Vendor_25,Manager_9
2024-08-28,Expense,3192.87,Miscellaneous,Finance,2954.84,238.03,TXN91588,Vendor_19,Manager_7
2024-08-28,Expense,14323.67,Miscellaneous,HR,13457.22,866.45,TXN59411,Vendor_48,Manager_8
2024-08-28,Expense,11615.55,Professional Services,Finance,11011.76,603.79,TXN29361,Vendor_21,Manager_9
2024-08-28,Expense,16752.54,Utilities,Engineering,17695.8,-943.26,TXN18221,Vendor_26,Manager_6
2024-08-28,Expense,3268.29,Equipment,Finance,3046.71,221.58,TXN16889,Vendor_9,Manager_3
2024-08-28,Expense,8101.24,Travel,HR,8004.16,97.08,TXN94990,Vendor_45,Manager_4
2024-08-28,Expense,160103.36,Salaries,HR,175307.02,-15203.66,TXN60228,Vendor_31,Manager_9
2024-09-27,Investment,62420.98,Salaries,Operations,62420.98,0.0,TXN35209,Vendor_45,Manager_7
2024-09-27,Expense,4263.55,Software/Tools,Marketing,3845.9,417.65,TXN23771,Vendor_43,Manager_5
2024-09-27,Expense,9803.67,Equipment,Sales,8968.17,835.5,TXN40968,Vendor_28,Manager_5
2024-09-27,Expense,140288.27,Salaries,HR,135651.56,4636.71,TXN71039,Vendor_9,Manager_3
2024-09-27,Expense,14812.36,Professional Services,Engineering,16066.3,-1253.94,TXN85511,Vendor_11,Manager_2
2024-09-27,Expense,11503.78,Miscellaneous,Marketing,12434.9,-931.12,TXN32522,Vendor_23,Manager_9
2024-09-27,Expense,14863.19,Travel,Operations,14153.81,709.38,TXN98095,Vendor_25,Manager_7
2024-09-27,Expense,146163.52,Salaries,Sales,135588.97,10574.55,TXN79516,Vendor_3,Manager_5
2024-09-27,Expense,4837.19,Professional Services,Sales,4989.77,-152.58,TXN95623,Vendor_1,Manager_4
2024-09-27,Expense,14267.45,Miscellaneous,HR,14640.22,-372.77,TXN58114,Vendor_31,Manager_5
2024-09-27,Expense,5872.32,Equipment,Sales,5897.31,-24.98,TXN27725,Vendor_12,Manager_6
2024-09-27,Expense,3134.41,Professional Services,Sales,3165.57,-31.16,TXN98377,Vendor_35,Manager_9
2024-09-27,Expense,19107.01,Equipment,Marketing,17583.78,1523.23,TXN54843,Vendor_40,Manager_7
2024-09-27,Expense,169003.69,Salaries,HR,161208.04,7795.64,TXN12045,Vendor_41,Manager_2
2024-09-27,Revenue,282207.89,Utilities,Marketing,225766.32,56441.58,TXN42135,Vendor_14,Manager_6
2024-09-27,Expense,78996.19,Marketing,HR,76913.15,2083.04,TXN75106,Vendor_16,Manager_4
2024-09-27,Expense,18096.51,Office Rent,Marketing,19652.99,-1556.48,TXN85542,Vendor_10,Manager_1
2024-09-27,Expense,47612.17,Marketing,Marketing,48207.04,-594.87,TXN21783,Vendor_13,Manager_3
2024-09-27,Expense,63661.24,Marketing,Operations,58958.06,4703.18,TXN91501,Vendor_25,Manager_7
2024-09-27,Investment,71785.65,Miscellaneous,Operations,71785.65,0.0,TXN31719,Vendor_49,Manager_6
2024-09-27,Investment,10872.57,Equipment,Sales,10872.57,0.0,TXN66132,Vendor_26,Manager_2
2024-09-27,Investment,45672.78,Travel,Engineering,45672.78,0.0,TXN95277,Vendor_41,Manager_4
2024-09-27,Expense,17653.3,Software/Tools,Marketing,17434.28,219.01,TXN81420,Vendor_25,Manager_3
2024-09-27,Investment,46831.46,Utilities,Operations,46831.46,0.0,TXN34923,Vendor_31,Manager_7
2024-09-27,Expense,157512.82,Salaries,Finance,149463.81,8049.01,TXN15905,Vendor_5,Manager_4
2024-09-27,Expense,7060.99,Professional Services,Operations,7102.89,-41.9,TXN68796,Vendor_43,Manager_2
2024-09-27,Expense,11154.77,Professional Services,Marketing,11218.48,-63.71,TXN17114,Vendor_23,Manager_9
2024-09-27,Investment,70069.89,Miscellaneous,Operations,70069.89,0.0,TXN22534,Vendor_33,Manager_2
2024-09-27,Investment,92244.07,Travel,Engineering,92244.07,0.0,TXN47892,Vendor_30,Manager_6
2024-09-27,Investment,12272.91,Office Rent,Engineering,12272.91,0.0,TXN66600,Vendor_5,Manager_3
2024-09-27,Expense,3464.88,Utilities,Marketing,3240.96,223.93,TXN62807,Vendor_31,Manager_3
2024-09-27,Revenue,429630.7,Software/Tools,Marketing,343704.56,85926.14,TXN34406,Vendor_32,Manager_4
2024-09-27,Expense,14810.76,Professional Services,Operations,14386.39,424.37,TXN12896,Vendor_32,Manager_1
2024-09-27,Expense,8878.99,Equipment,Finance,8034.11,844.89,TXN48696,Vendor_3,Manager_9
2024-09-27,Revenue,177184.82,Salaries,HR,141747.86,35436.96,TXN62096,Vendor_1,Manager_3
2024-10-27,Investment,28058.01,Training,Finance,28058.01,0.0,TXN35860,Vendor_28,Manager_7
2024-10-27,Expense,6603.2,Software/Tools,Finance,7176.12,-572.92,TXN32664,Vendor_39,Manager_2
2024-10-27,Investment,95098.92,Office Rent,Sales,95098.92,0.0,TXN42872,Vendor_20,Manager_8
2024-10-27,Investment,52985.22,Miscellaneous,Finance,52985.22,0.0,TXN87925,Vendor_20,Manager_8
2024-10-27,Expense,19040.47,Office Rent,Engineering,18860.84,179.64,TXN24698,Vendor_45,Manager_3
2024-10-27,Expense,13069.92,Software/Tools,Engineering,13394.48,-324.56,TXN29371,Vendor_8,Manager_2
2024-10-27,Expense,19949.49,Miscellaneous,Finance,20972.53,-1023.05,TXN29680,Vendor_13,Manager_9
2024-10-27,Expense,11839.23,Software/Tools,Operations,12736.34,-897.11,TXN49804,Vendor_37,Manager_7
2024-10-27,Expense,76306.62,Marketing,Engineering,80085.95,-3779.33,TXN88743,Vendor_9,Manager_4
2024-10-27,Expense,3862.02,Training,HR,4090.12,-228.1,TXN51120,Vendor_47,Manager_8
2024-10-27,Investment,85242.06,Salaries,HR,85242.06,0.0,TXN76492,Vendor_4,Manager_1
2024-10-27,Revenue,338293.92,Travel,Sales,270635.14,67658.78,TXN61317,Vendor_20,Manager_2
2024-10-27,Expense,13574.28,Utilities,Marketing,14844.71,-1270.43,TXN62736,Vendor_22,Manager_5
2024-10-27,Revenue,176091.29,Utilities,Engineering,140873.03,35218.26,TXN40802,Vendor_16,Manager_1
2024-10-27,Investment,70940.79,Software/Tools,HR,70940.79,0.0,TXN45539,Vendor_10,Manager_8
2024-10-27,Revenue,58794.16,Salaries,Operations,47035.33,11758.83,TXN26418,Vendor_29,Manager_8
2024-10-27,Expense,60700.62,Marketing,HR,64590.23,-3889.61,TXN51135,Vendor_42,Manager_3
2024-10-27,Revenue,405909.53,Marketing,Sales,324727.63,81181.91,TXN70346,Vendor_29,Manager_6
2024-10-27,Expense,9358.3,Training,Sales,9309.48,48.82,TXN22343,Vendor_48,Manager_4
2024-10-27,Expense,18939.49,Miscellaneous,Engineering,17362.42,1577.07,TXN84327,Vendor_44,Manager_1
2024-10-27,Revenue,248307.25,Equipment,Operations,198645.8,49661.45,TXN92546,Vendor_37,Manager_7
2024-10-27,Expense,180601.48,Salaries,Marketing,171913.63,8687.85,TXN66221,Vendor_24,Manager_6
2024-10-27,Expense,18815.37,Travel,Marketing,17217.19,1598.18,TXN97053,Vendor_12,Manager_7
2024-10-27,Expense,15398.82,Professional Services,Marketing,14620.7,778.12,TXN50239,Vendor_9,Manager_8
2024-10-27,Revenue,382335.46,Equipment,HR,305868.37,76467.09,TXN48022,Vendor_43,Manager_2
2024-10-27,Expense,16967.81,Utilities,Sales,16388.41,579.4,TXN95587,Vendor_16,Manager_1
2024-10-27,Revenue,440964.08,Training,Sales,352771.27,88192.82,TXN93222,Vendor_15,Manager_5
2024-10-27,Expense,11671.79,Utilities,HR,11487.14,184.65,TXN26802,Vendor_35,Manager_4
2024-11-26,Revenue,391097.75,Miscellaneous,Operations,312878.2,78219.55,TXN20943,Vendor_29,Manager_7
2024-11-26,Expense,13154.07,Software/Tools,Marketing,14362.66,-1208.59,TXN81507,Vendor_16,Manager_6
2024-11-26,Expense,14436.82,Utilities,Engineering,14030.27,406.54,TXN84536,Vendor_22,Manager_7
2024-11-26,Expense,27258.88,Office Rent,Sales,26645.97,612.91,TXN60450,Vendor_20,Manager_1
2024-11-26,Investment,60980.66,Software/Tools,Engineering,60980.66,0.0,TXN74236,Vendor_4,Manager_3
2024-11-26,Revenue,51476.51,Utilities,Marketing,41181.21,10295.3,TXN91719,Vendor_40,Manager_9
2024-11-26,Expense,7629.41,Miscellaneous,Engineering,7813.74,-184.33,TXN69351,Vendor_10,Manager_2
2024-11-26,Expense,15380.14,Training,Operations,14702.22,677.92,TXN18058,Vendor_5,Manager_7
2024-11-26,Expense,7678.03,Travel,Operations,7085.1,592.93,TXN57501,Vendor_6,Manager_4
2024-11-26,Revenue,368694.88,Miscellaneous,HR,294955.9,73738.98,TXN77879,Vendor_36,Manager_6
2024-11-26,Revenue,123111.79,Office Rent,HR,98489.43,24622.36,TXN43290,Vendor_16,Manager_6
2024-11-26,Expense,26399.46,Office Rent,Finance,28182.28,-1782.81,TXN87497,Vendor_30,Manager_3
2024-11-26,Expense,117247.5,Salaries,Engineering,119774.47,-2526.96,TXN83162,Vendor_34,Manager_4
2024-11-26,Expense,72231.73,Marketing,Engineering,67888.19,4343.55,TXN78155,Vendor_4,Manager_8
2024-11-26,Expense,3162.78,Software/Tools,Finance,3235.68,-72.9,TXN13485,Vendor_41,Manager_4
2024-11-26,Expense,40632.64,Marketing,Engineering,40185.05,447.59,TXN73179,Vendor_11,Manager_9
2024-11-26,Expense,5102.02,Training,Operations,4739.35,362.68,TXN56857,Vendor_17,Manager_6
2024-11-26,Expense,16188.52,Software/Tools,HR,14772.53,1415.99,TXN38855,Vendor_32,Manager_4
2024-11-26,Expense,7482.42,Equipment,Engineering,7643.33,-160.91,TXN26549,Vendor_39,Manager_3
2024-11-26,Expense,138275.94,Salaries,Engineering,131024.75,7251.18,TXN75573,Vendor_28,Manager_5
2024-11-26,Expense,84927.29,Salaries,Finance,87996.33,-3069.04,TXN18511,Vendor_9,Manager_1
